2026-03-11 23:50:38 | INFO     | __main__ | MediaService v1.6.0 初始化完成
2026-03-11 23:50:38 | INFO     | __main__ | 正在启动服务...
2026-03-11 23:50:57 | INFO     | __main__ | MediaService v1.6.0 初始化完成
2026-03-11 23:50:57 | INFO     | __main__ | 正在启动服务...
2026-03-11 23:52:11 | INFO     | __main__ | MediaService v1.6.0 初始化完成
2026-03-11 23:52:11 | INFO     | __main__ | 正在启动服务...
2026-03-11 23:52:37 | INFO     | __main__ | MediaService v1.6.0 初始化完成
2026-03-11 23:52:37 | INFO     | __main__ | 正在启动服务...
2026-03-11 23:53:25 | INFO     | __main__ | MediaService v1.6.0 初始化完成
2026-03-11 23:53:25 | INFO     | __main__ | 正在启动服务...
2026-03-11 23:53:55 | INFO     | __main__ | MediaService v1.6.0 初始化完成
2026-03-11 23:53:55 | INFO     | __main__ | 正在启动服务...
2026-03-11 23:55:29 | INFO     | __main__ | MediaService v1.6.0 初始化完成
2026-03-11 23:55:29 | INFO     | __main__ | 正在启动服务...
2026-03-11 23:55:29 | INFO     | app.api.server | 服务启动中...
2026-03-11 23:56:32 | INFO     | app.api.server | 服务关闭中...
2026-03-11 23:56:32 | INFO     | app.core.daemon | 收到信号 2，正在关闭...
2026-03-11 23:56:53 | INFO     | __main__ | MediaService v1.6.0 初始化完成
2026-03-11 23:56:53 | INFO     | __main__ | 正在启动服务...
2026-03-11 23:56:53 | INFO     | app.api.server | 服务启动中...
2026-03-12 00:00:27 | INFO     | app.api.server | 服务关闭中...
2026-03-12 00:00:27 | INFO     | app.core.daemon | 收到信号 2，正在关闭...
